,gross_amount,movie_name,open_time,year,tconst,title,releaseYear,runtimeMinutes,genres1,genres2,genres3,averageRating,numVotes,directorName,writerName
0,"$337,135,885",The Hunger Games: Mockingjay - Part 1,11/21,2014,tt1951265,The Hunger Games: Mockingjay - Part 1,2014,123,Action,Adventure,Sci-Fi,6.7,354773,Francis Lawrence,Peter Craig
1,"$337,135,885",The Hunger Games: Mockingjay - Part 1,11/21,2014,tt1951266,The Hunger Games: Mockingjay - Part 2,2015,137,Action,Adventure,Sci-Fi,6.5,227244,Francis Lawrence,Peter Craig
2,"$333,176,600",Guardians of the Galaxy,8/1,2014,tt2015381,Guardians of the Galaxy,2014,121,Action,Adventure,Sci-Fi,8.1,828704,James Gunn,James Gunn
3,"$333,176,600",Guardians of the Galaxy,8/1,2014,tt3896198,Guardians of the Galaxy Vol. 2,2017,136,Action,Adventure,Sci-Fi,7.7,361364,James Gunn,James Gunn
4,"$255,119,788",The Hobbit: The Battle of the Five Armies,12/17,2014,tt2310332,The Hobbit: The Battle of the Five Armies,2014,144,Adventure,Fantasy,,7.4,411073,Peter Jackson,Fran Walsh
5,"$245,439,076",Transformers: Age of Extinction,6/27,2014,tt2109248,Transformers: Age of Extinction,2014,165,Action,Adventure,Sci-Fi,5.7,270265,Michael Bay,Ehren Kruger
6,"$241,410,378",Maleficent,5/30,2014,tt1587310,Maleficent,2014,97,Action,Adventure,Family,7.0,285189,Robert Stromberg,Linda Woolverton
7,"$208,545,589",Dawn of the Planet of the Apes,7/11,2014,tt2103281,Dawn of the Planet of the Apes,2014,130,Action,Adventure,Drama,7.6,369953,Matt Reeves,Mark Bomback
8,"$191,719,337",22 Jump Street,6/13,2014,tt2294449,22 Jump Street,2014,112,Action,Comedy,Crime,7.0,299422,Phil Lord,Michael Bacall
9,"$188,020,017",Interstellar,11/5,2014,tt0816692,Interstellar,2014,169,Adventure,Drama,Sci-Fi,8.6,1163959,Christopher Nolan,Jonathan Nolan
10,"$150,157,400",Neighbors,5/9,2014,tt2004420,Neighbors,2014,97,Comedy,,,6.3,250862,Nicholas Stoller,Andrew Jay Cohen
11,"$150,157,400",Neighbors,5/9,2014,tt3592020,Neighbours,2014,125,Horror,,,3.6,30,Shyam Ramsay,Shyam Ramsay
